"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","h-4","truncate","flex-none src","flex-none","truncate 2"
"https://shopee.co.id/adidas-Basketball-Rivalry-Lux-Low-Shoes-Unisex-Black-ID3950-i.270510657.28068082281?extraParams=%7B%22display_model_id%22%3A195568543090%2C%22model_selection_logic%22%3A3%7D&sp_atk=25c11e51-5995-4200-9a29-b264c9f40cff&xptdk=25c11e51-5995-4200-9a29-b264c9f40cff","https://down-id.img.susercontent.com/file/id-11134201-7rbkb-mauqswv1dd4k05","adidas Basketball Rivalry Lux Low Shoes Unisex Black ID3950","1.130.500","-34%","Pilih 2, diskon 15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.9","7 Terjual"
"https://shopee.co.id/adidas-Basketball-Rivalry-Low-Shoes-Men-White-GX2272-i.270510657.27218098492?extraParams=%7B%22display_model_id%22%3A197989625930%2C%22model_selection_logic%22%3A3%7D&sp_atk=0372cc86-26e4-4f88-a10c-308f274d82f1&xptdk=0372cc86-26e4-4f88-a10c-308f274d82f1","https://down-id.img.susercontent.com/file/id-11134201-7rbka-maur1ksuvxsp9f","adidas Basketball Rivalry Low Shoes Men White GX2272","960.000","-40%","Pilih 2, diskon 15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.8","81 Terjual"
"https://shopee.co.id/adidas-Basketball-Jabbar-OG-Lo-Shoes-Unisex-White-JI0150-i.270510657.25638521174?extraParams=%7B%22display_model_id%22%3A148892468833%2C%22model_selection_logic%22%3A3%7D&sp_atk=90456a1c-19a6-42bf-b246-9ac885d34314&xptdk=90456a1c-19a6-42bf-b246-9ac885d34314","https://down-id.img.susercontent.com/file/id-11134201-7rbke-maurgxj811r284","adidas Basketball Jabbar OG Lo Shoes Unisex White JI0150","1.064.000","-34%","Pilih 2, diskon 15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","5.0","15 Terjual"
"https://shopee.co.id/adidas-Basketball-Rivalry-Lux-Low-Shoes-Unisex-White-IF7184-i.270510657.27568086851?extraParams=%7B%22display_model_id%22%3A195568736245%2C%22model_selection_logic%22%3A3%7D&sp_atk=f8d4c27b-0113-4a6d-9105-a43233a98343&xptdk=f8d4c27b-0113-4a6d-9105-a43233a98343","https://down-id.img.susercontent.com/file/id-11134201-7rbk6-mauqxw9auiw4ce","adidas Basketball Rivalry Lux Low Shoes Unisex White IF7184","1.130.500","-34%","Pilih 2, diskon 15%","","","3 Terjual"
"https://shopee.co.id/adidas-Basketball-Rivalry-Mule-Shoes-Women-Black-IF4651-i.270510657.27568085451?extraParams=%7B%22display_model_id%22%3A176809107194%2C%22model_selection_logic%22%3A3%7D&sp_atk=77d618bb-d8f6-439e-ba42-694d2e65f1fa&xptdk=77d618bb-d8f6-439e-ba42-694d2e65f1fa","https://down-id.img.susercontent.com/file/id-11134201-7rbkd-mauqxxwyf6opc8","adidas Basketball Rivalry Mule Shoes Women Black IF4651","1.020.000","-40%","Pilih 2, diskon 15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","5.0","15 Terjual"
"https://shopee.co.id/adidas-Basketball-Forum-Mid-Shoes-Men-White-IG3755-i.270510657.27718096913?extraParams=%7B%22display_model_id%22%3A108515339841%2C%22model_selection_logic%22%3A3%7D&sp_atk=23c69f39-06ce-4016-8bf6-5dc55f07babc&xptdk=23c69f39-06ce-4016-8bf6-5dc55f07babc","https://down-id.img.susercontent.com/file/sg-11134201-81zv0-miz48qvjkglgc9","adidas Basketball Forum Mid Shoes Men White IG3755","1.800.000","","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.9","68 Terjual"
"https://shopee.co.id/adidas-Basketball-Forum-Low-CL-Shoes-Men-White-IH7830-i.270510657.26918096646?extraParams=%7B%22display_model_id%22%3A147561127469%2C%22model_selection_logic%22%3A3%7D&sp_atk=5d98f95c-ec02-4210-9b02-94e57aac694f&xptdk=5d98f95c-ec02-4210-9b02-94e57aac694f","https://down-id.img.susercontent.com/file/id-11134201-7rbk9-maur53cjp6s956","adidas Basketball Forum Low CL Shoes Men White IH7830","1.620.000","-10%","Pilih 2, diskon 15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","5.0","9 Terjual"
"https://shopee.co.id/adidas-Basketball-Forum-Low-Classic-Shoes-Men-White-ID6858-i.270510657.26268096457?extraParams=%7B%22display_model_id%22%3A195568721311%2C%22model_selection_logic%22%3A3%7D&sp_atk=7bd946a9-f7cd-46eb-951e-01e4c29ab09e&xptdk=7bd946a9-f7cd-46eb-951e-01e4c29ab09e","https://down-id.img.susercontent.com/file/id-11134201-7rbk0-maurcdpzsc2m22","adidas Basketball Forum Low Classic Shoes Men White ID6858","1.197.000","-34%","Pilih 2, diskon 15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.9","288 Terjual"
"https://shopee.co.id/adidas-Basketball-Legends-3-Stripes-Basketball-Shorts-Men-Blue-JN4741-i.270510657.40317019914?extraParams=%7B%22display_model_id%22%3A271406043385%2C%22model_selection_logic%22%3A3%7D&sp_atk=9b87cc3e-e2f0-475e-86b9-d47952b00a33&xptdk=9b87cc3e-e2f0-475e-86b9-d47952b00a33","https://down-id.img.susercontent.com/file/sg-11134201-824ih-me4z6515log3e1","adidas Basketball Legends 3-Stripes Basketball Shorts Men Blue JN4741","280.000","-30%","Pilih 2, diskon 15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.9","88 Terjual"
"https://shopee.co.id/adidas-Basketball-Lifestyle-Entrap-Shoes-Men-White-EH1865-i.270510657.43951175941?extraParams=%7B%22display_model_id%22%3A258427841040%2C%22model_selection_logic%22%3A3%7D&sp_atk=c6804eb1-2e45-4408-9286-3eda139e01dd&xptdk=c6804eb1-2e45-4408-9286-3eda139e01dd","https://down-id.img.susercontent.com/file/id-11134201-7rbk9-mauozi616l2ce9","adidas Basketball & Lifestyle Entrap Shoes Men White EH1865","720.000","-40%","Pilih 2, diskon 15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.9","256 Terjual"
"https://shopee.co.id/adidas-Basketball-Lifestyle-Break-Start-Premium-Low-Shoes-Unisex-Blue-JR1443-i.270510657.44115249157?extraParams=%7B%22display_model_id%22%3A301260788887%2C%22model_selection_logic%22%3A3%7D&sp_atk=5c8ce9a0-3591-489c-a57b-795c240d88aa&xptdk=5c8ce9a0-3591-489c-a57b-795c240d88aa","https://down-id.img.susercontent.com/file/sg-11134201-824gj-mdwrxwvkiqrq54","adidas Basketball & Lifestyle Break Start Premium Low Shoes Unisex Blue JR1443","1.080.000","-10%","Pilih 2, diskon 15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","5.0","18 Terjual"
"https://shopee.co.id/adidas-Basketball-Select-Graphic-Tee-Men-Green-JN7111-i.270510657.40851174204?extraParams=%7B%22display_model_id%22%3A285094970862%2C%22model_selection_logic%22%3A3%7D&sp_atk=cd3c35ff-db78-4d0b-9a8b-b772b9dc38bb&xptdk=cd3c35ff-db78-4d0b-9a8b-b772b9dc38bb","https://down-id.img.susercontent.com/file/id-11134201-7rbka-maupq51401pwc6","adidas Basketball Select Graphic Tee Men Green JN7111","290.000","-50%","Pilih 2, diskon 15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.9","18 Terjual"
"https://shopee.co.id/adidas-Basketball-Lifestyle-Break-Start-Premium-Low-Shoes-Unisex-Black-JR1442-i.270510657.40365249358?extraParams=%7B%22display_model_id%22%3A306260857284%2C%22model_selection_logic%22%3A3%7D&sp_atk=9880adad-313e-4e68-95db-5fe03259283b&xptdk=9880adad-313e-4e68-95db-5fe03259283b","https://down-id.img.susercontent.com/file/sg-11134201-824j2-mdws8zcwfg8z2f","adidas Basketball & Lifestyle Break Start Premium Low Shoes Unisex Black JR1442","1.080.000","-10%","Pilih 2, diskon 15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","5.0","7 Terjual"
"https://shopee.co.id/adidas-Basketball-Lifestyle-Break-Start-Shoes-Unisex-Green-IH7966-i.270510657.56352293600?extraParams=%7B%22display_model_id%22%3A262211743612%2C%22model_selection_logic%22%3A3%7D&sp_atk=a119fd3a-acbb-477b-a646-60abf22fd4f9&xptdk=a119fd3a-acbb-477b-a646-60abf22fd4f9","https://down-id.img.susercontent.com/file/sg-11134201-81zvk-mmu93ontt89170","adidas Basketball & Lifestyle Break Start Shoes Unisex Green IH7966","900.000","-10%","Pilih 2, diskon 15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","5.0","9 Terjual"
"https://shopee.co.id/adidas-Basketball-Lifestyle-Entrap-Shoes-Men-White-FY6075-i.270510657.41051181971?extraParams=%7B%22display_model_id%22%3A275094655180%2C%22model_selection_logic%22%3A3%7D&sp_atk=980336c3-25d5-4349-b84b-9615bcdeab5e&xptdk=980336c3-25d5-4349-b84b-9615bcdeab5e","https://down-id.img.susercontent.com/file/id-11134201-7rbk8-maupohhf7xno53","adidas Basketball & Lifestyle Entrap Shoes Men White FY6075","720.000","-40%","Pilih 2, diskon 15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","5.0","165 Terjual"
"https://shopee.co.id/adidas-Basketball-Lifestyle-Midcity-Low-Shoes-Men-Black-IE4518-i.270510657.40365241472?extraParams=%7B%22display_model_id%22%3A234449020865%2C%22model_selection_logic%22%3A3%7D&sp_atk=bba25eab-45d9-4a01-ba50-92a999bde758&xptdk=bba25eab-45d9-4a01-ba50-92a999bde758","https://down-id.img.susercontent.com/file/sg-11134201-824j8-mdwndqe8a0at02","adidas Basketball & Lifestyle Midcity Low Shoes Men Black IE4518","910.000","-30%","Pilih 2, diskon 15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.7","46 Terjual"
"https://shopee.co.id/adidas-Basketball-Lifestyle-Subzone-Shoes-Unisex-White-IH5840-i.270510657.29468093617?extraParams=%7B%22display_model_id%22%3A252063731760%2C%22model_selection_logic%22%3A3%7D&sp_atk=eb37d574-4def-4ecb-9717-8b66d25f4c84&xptdk=eb37d574-4def-4ecb-9717-8b66d25f4c84","https://down-id.img.susercontent.com/file/id-11134201-7rbk8-mauq2foq87q640","adidas Basketball & Lifestyle Subzone Shoes Unisex White IH5840","1.200.000","","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","5.0","1 Terjual"
"https://shopee.co.id/adidas-Lifestyle-EARTH-DAY-BASKETBALL-GRAPHIC-T-SHIRT-Men-Blue-KB4910-i.270510657.45303484996?extraParams=%7B%22display_model_id%22%3A320334206861%2C%22model_selection_logic%22%3A3%7D&sp_atk=ad537c89-5c4e-4839-8c6f-cdbf11b61bd3&xptdk=ad537c89-5c4e-4839-8c6f-cdbf11b61bd3","https://down-id.img.susercontent.com/file/sg-11134201-81zvf-mimcrvmm90cm41","adidas Lifestyle EARTH DAY BASKETBALL GRAPHIC T-SHIRT Men Blue KB4910","522.000","-10%","Produk Baru","","","Pilih 2, diskon 15%"
"https://shopee.co.id/adidas-Basketball-Lifestyle-Break-Start-Shoes-Unisex-Black-IH7963-i.270510657.43201197433?extraParams=%7B%22display_model_id%22%3A295096291765%2C%22model_selection_logic%22%3A3%7D&sp_atk=af7d964f-3476-46d2-83b7-ae52d0557bab&xptdk=af7d964f-3476-46d2-83b7-ae52d0557bab","https://down-id.img.susercontent.com/file/sg-11134201-8261s-mjf2wu64ytxi98","adidas Basketball & Lifestyle Break Start Shoes Unisex Black IH7963","900.000","-10%","Pilih 2, diskon 15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.6","10 Terjual"
"https://shopee.co.id/adidas-Basketball-Lifestyle-Break-Start-Premium-Low-Shoes-Unisex-Grey-JS3386-i.270510657.42665256085?extraParams=%7B%22display_model_id%22%3A216226983306%2C%22model_selection_logic%22%3A3%7D&sp_atk=227d497a-0e21-4eda-b1dd-4065de5bb766&xptdk=227d497a-0e21-4eda-b1dd-4065de5bb766","https://down-id.img.susercontent.com/file/sg-11134201-824hz-mdws90h9jy0zc4","adidas Basketball & Lifestyle Break Start Premium Low Shoes Unisex Grey JS3386","1.080.000","-10%","Pilih 2, diskon 15%","","","3 Terjual"
"https://shopee.co.id/adidas-Basketball-Cross-'Em-Up-Select-Shoes-Unisex-Black-IE9255-i.270510657.41854448753?extraParams=%7B%22display_model_id%22%3A260376991712%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5b4c848-3eae-43c9-98dd-7b93bb4c85e7&xptdk=a5b4c848-3eae-43c9-98dd-7b93bb4c85e7","https://down-id.img.susercontent.com/file/sg-11134201-7ratx-maymvbxyjrsm15","adidas Basketball Cross 'Em Up Select Shoes Unisex Black IE9255","770.000","-30%","Pilih 2, diskon 15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","5.0","6 Terjual"
"https://shopee.co.id/adidas-Basketball-Lifestyle-Break-Start-Premium-Low-Shoes-Unisex-Black-JS3388-i.270510657.40715258096?extraParams=%7B%22display_model_id%22%3A266261979982%2C%22model_selection_logic%22%3A3%7D&sp_atk=7e2d65a5-ea63-4b50-9a54-af908ac647ce&xptdk=7e2d65a5-ea63-4b50-9a54-af908ac647ce","https://down-id.img.susercontent.com/file/sg-11134201-824gi-mdwuar8w6epsa7","adidas Basketball & Lifestyle Break Start Premium Low Shoes Unisex Black JS3388","1.080.000","-10%","Pilih 2, diskon 15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","5.0","4 Terjual"
"https://shopee.co.id/adidas-Basketball-Lifestyle-Subzone-Shoes-Unisex-Black-IH3423-i.270510657.28568097634?extraParams=%7B%22display_model_id%22%3A197989510560%2C%22model_selection_logic%22%3A3%7D&sp_atk=5f4aca2b-a899-4aaa-a4cb-4c4483a329e5&xptdk=5f4aca2b-a899-4aaa-a4cb-4c4483a329e5","https://down-id.img.susercontent.com/file/sg-11134201-82634-mm8agv2i3i1094","adidas Basketball & Lifestyle Subzone Shoes Unisex Black IH3423","1.100.000","","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.6","32 Terjual"
"https://shopee.co.id/adidas-Basketball-Lifestyle-Break-Start-Shoes-Unisex-White-JI0368-i.270510657.26186675573?extraParams=%7B%22display_model_id%22%3A300096237097%2C%22model_selection_logic%22%3A3%7D&sp_atk=5479a6c7-9d5a-4ac6-a7a8-d902d061710d&xptdk=5479a6c7-9d5a-4ac6-a7a8-d902d061710d","https://down-id.img.susercontent.com/file/id-11134201-7rbkb-maurd8qscogpc9","adidas Basketball & Lifestyle Break Start Shoes Unisex White JI0368","600.000","-40%","Pilih 2, diskon 15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.8","75 Terjual"